"LA","Region","Projected % of 0-17 yr olds in a household where an adult experienced domestic abuse in last year","Projected % of 0-17 yr olds in a household where an adult has ever experienced domestic abuse","Projected % of 0-17 yr olds in a household where an adult has moderate or higher mental ill-health symptoms","Projected % of 0-17 yr olds in a household where an adult has severe mental ill-health symptoms","Projected % of 0-17 yr olds in a household where an adult reports any substance misuse","Projected % of 0-17 yr olds in a household where an adult has an alcohol or drug dependency","Projected % of 0-17 yr olds in a household where an adult has any of the 'toxic trio' issues (broad measures)","Projected % of 0-17 yr olds in a household where an adult has any of the 'toxic trio' issues (narrow measures)","Projected % of 0-17 yr olds in a household where an adult has 2 of 3 'toxic trio' issues (broad measures)","Projected % of 0-17 yr olds in a household where an adult has 2 of 3 'toxic trio' issues (narrow measures)","Projected % of 0-17 yr olds in a household where an adult has 2 or more of the toxic trio issues (broad measures)","Projected % of 0-17 yr olds in a household where an adult has 2 or more of the toxic trio issues (narrow measures)","Projected % of 0-17 yr olds in a household where an adult has all 3 of the 'toxic trio' issues (broad measures)","Projected % of 0-17 yr olds in a household where an adult has all 3 of the 'toxic trio' issues (narrow measures)"
"Barking and Dagenham","London",7.01158035141435,27.4550698713843,34.5162384692184,15.6953539749334,10.6043053941437,4.49291399975873,48.3598000303446,20.6328988504125,17.015460727808,4.71276176756575,20.6263217662381,5.54813915302303,3.6046866296552,1.35110016229254
"Barnet","London",6.53478960343718,25.4652202737304,30.6636190489341,12.8297581582167,9.60842309913759,3.38791345588986,44.9000676664187,17.6283944493953,14.409828327672,3.81020113478716,17.650192122088,4.4391177043728,3.23705298473078,1.02596524090084
"Barnsley","Yorkshire and the Humber",6.26567742704452,26.1922903578005,31.8075943117302,13.2697844676587,10.1431412371655,3.82323838207175,45.8670099117756,17.8314237299476,15.1405731359361,3.90713666532151,18.7217782612468,4.66320061004149,3.58267015982258,1.0481931001145
"Bath and North East Somerset","South West",6.60748942557967,23.6128069139814,31.4127279568143,12.5135185271884,11.4103899422585,4.6965059489052,44.9026636396507,17.1537134219782,13.5358058798135,3.23061405903572,17.4783021759826,4.93329918877306,3.96055168779985,1.01102848386127
"Bedford","East of England",6.09660712036927,24.7824342086888,29.7582606126831,12.2237160366609,10.2226983098797,3.96070147623446,44.3830751143849,16.871852606295,13.6229040158809,3.39573243684886,17.0036846999587,4.37984993708332,3.37920708411903,0.999465805517439
"Bexley","London",6.22547763907401,25.3588555320037,30.645359351923,12.9940982615634,10.2808707528928,3.73738086052495,45.1774858774283,17.6354882377022,14.4013616818311,3.64049476486826,17.7596884756819,4.44294499072132,3.35693306035643,1.03287793186424
"Birmingham","West Midlands",6.89989077291172,25.3368451882113,32.6947420536143,14.4143546131273,10.8366379071893,4.74537200106813,46.1097642002266,19.4723611718236,15.8507263710771,4.56032876696421,19.2862918947211,5.50803182249212,3.43306347860715,1.3362106925499
"Blackburn with Darwen","North West",6.33614287821744,24.3714476698927,32.0123605438148,14.365096438157,10.8013868551785,4.46201884542554,45.3469845427754,19.0393770183074,14.8463690990674,4.17336859232595,18.3179557886232,5.07719198553115,3.46917332931222,1.29293631704403
"Blackpool","North West",8.38744562817116,29.6090082361687,35.8053634510283,16.9948378522592,13.7871505391618,5.78776233614216,50.6498772673635,22.2481650683432,17.4698410130609,6.47351021819305,22.9627899091331,7.61472853502464,5.50920585380822,1.17537108730926
"Bolton","North West",6.68046844296148,25.4938757044266,32.7593843450863,14.8993699536168,10.8485119097141,4.20730374063586,46.2751802825007,19.2785674225059,15.2434158768406,4.34447770435017,19.0168668899227,5.33352078610796,3.77516889843044,1.14523292206038
