"LA","Region","Projected % of children in a household where an adult experienced domestic abuse in last year","Projected % of children in a household where an adult has ever experienced domestic abuse","Projected % of children in a household where an adult has moderate or higher mental ill-health symptoms","Projected % of children in a household where an adult has severe mental ill-health symptoms","Projected % of children in a household where an adult reports any substance misuse","Projected % of children in a household where an adult has an alcohol or drug dependency","Projected % of children in a household where an adult has any of the 'toxic trio' issues (broad measures)","Projected % of children in a household where an adult has any of the 'toxic trio' issues (narrow measures)","Projected % of children in a household where an adult has 2 of 3 'toxic trio' issues (broad measures)","Projected % of children in a household where an adult has 2 of 3 'toxic trio' issues (narrow measures)","Projected % of children in a household where an adult has 2 or more of the toxic trio issues (broad measures)","Projected % of children in a household where an adult has 2 or more of the toxic trio issues (narrow measures)","Projected % of children in a household where an adult has all 3 of the 'toxic trio' issues (broad measures)","Projected % of children in a household where an adult has all 3 of the 'toxic trio' issues (narrow measures)"
"Barking and Dagenham","London",7.01,27.46,34.52,15.7,10.6,4.49,48.36,20.63,17.02,4.71,20.63,5.55,3.6,1.35
"Barnet","London",6.53,25.47,30.66,12.83,9.61,3.39,44.9,17.63,14.41,3.81,17.65,4.44,3.24,1.03
"Barnsley","Yorkshire and the Humber",6.27,26.19,31.81,13.27,10.14,3.82,45.87,17.83,15.14,3.91,18.72,4.66,3.58,1.05
"Bath and North East Somerset","South West",6.61,23.61,31.41,12.51,11.41,4.7,44.9,17.15,13.54,3.23,17.48,4.93,3.96,1.01
"Bedford","East of England",6.1,24.78,29.76,12.22,10.22,3.96,44.38,16.87,13.62,3.4,17,4.38,3.38,1
"Bexley","London",6.23,25.36,30.65,12.99,10.28,3.74,45.18,17.64,14.4,3.64,17.76,4.44,3.36,1.03
"Birmingham","West Midlands",6.9,25.34,32.69,14.41,10.84,4.75,46.11,19.47,15.85,4.56,19.29,5.51,3.43,1.34
"Blackburn with Darwen","North West",6.34,24.37,32.01,14.37,10.8,4.46,45.35,19.04,14.85,4.17,18.32,5.08,3.47,1.29
"Blackpool","North West",8.39,29.61,35.81,16.99,13.79,5.79,50.65,22.25,17.47,6.47,22.96,7.61,5.51,1.18
"Bolton","North West",6.68,25.49,32.76,14.9,10.85,4.21,46.28,19.28,15.24,4.34,19.02,5.33,3.78,1.15
"Bournemouth","South West",6.78,26.37,32.52,13.27,10.75,3.76,46.96,17.98,15.05,4.15,18.86,4.94,3.82,1.01
"Bracknell Forest","South East",5.61,24.17,28.79,11.33,10.12,3.72,43.58,15.9,13.02,2.81,16.26,3.78,3.24,0.95
"Bradford","Yorkshire and the Humber",6.7,24.65,30.85,13.76,10.22,4.11,44.85,18.44,14.21,4.26,17.54,5.13,3.33,1.2
"Brent","London",7.89,28.1,32.36,15.15,9.98,3.97,48.06,20.97,15.96,4.75,19.22,5.36,3.24,1.1
