"Constituency","MP","Party","Projected number of 0-15 yr olds in a household where an adult experienced domestic abuse in last year","Projected number of 0-15 yr olds in a household where an adult has ever experienced domestic abuse","Projected number of 0-15 yr olds in a household where an adult has moderate or higher mental ill-health symptoms","Projected number of 0-15 yr olds in a household where an adult has severe mental ill-health symptoms","Projected number of 0-15 yr olds in a household where an adult reports any substance misuse","Projected number of 0-15 yr olds in a household where an adult has an alcohol or drug dependency","Projected number of 0-15 yr olds in a household where an adult has any of the 'toxic trio' issues (broad measures)","Projected number of 0-15 yr olds in a household where an adult has any of the 'toxic trio' issues (narrow measures)","Projected number of 0-15 yr olds in a household where an adult has 2 of 3 'toxic trio' issues (broad measures)","Projected number of 0-15 yr olds in a household where an adult has 2 of 3 'toxic trio' issues (narrow measures)","Projected number of 0-15 yr olds in a household where an adult has 2 or more of the toxic trio issues (broad measures)","Projected number of 0-15 yr olds in a household where an adult has 2 or more of the toxic trio issues (narrow measures)","Projected number of 0-15 yr olds in a household where an adult has all 3 of the 'toxic trio' issues (broad measures)","Projected number of 0-15 yr olds in a household where an adult has all 3 of the 'toxic trio' issues (narrow measures)"
"Aldershot","Leo Docherty","Conservative",1450,5520,6410,2450,2050,800,9510,3560,3080,690,3770,940,680,190
"Aldridge-Brownhills","Wendy Morton","Conservative",970,3660,4130,1630,1400,530,6240,2340,2000,450,2490,610,490,130
"Altrincham and Sale West","Sir Graham Brady","Conservative",1580,6270,6790,2710,2220,840,10450,3770,3360,730,4180,1030,810,190
"Amber Valley","Nigel Mills","Conservative",1050,4070,4860,1980,1590,690,7120,2720,2340,590,2880,780,550,150
"Arundel and South Downs","Nick Herbert","Conservative",970,4080,4660,1650,1680,600,7270,2440,2080,390,2560,570,500,110
"Ashfield","Gloria De Piero","Labour",1370,5300,6260,2480,2100,810,9160,3540,3050,770,3730,990,700,170
"Ashford","Damian Green","Conservative",1800,6930,7790,3030,2550,960,11710,4370,3790,850,4680,1110,880,230
"Ashton-under-Lyne","Angela Rayner","Labour",1580,5420,6580,2900,2010,930,9180,3900,3460,910,4220,1170,740,250
"Aylesbury","Mr David Lidington","Conservative",1710,6570,7860,3160,2770,1120,11670,4340,3630,830,4500,1190,940,240
"Banbury","Victoria Prentis","Conservative",1660,6340,7280,2630,2400,900,11020,3880,3370,740,4210,1050,810,210
